Project Name,Checkpoint Name,Created On,File Name,Lines,Statements,Percent Branch Statements,Percent Lines with Comments,Classes Defined,Methods Implemented per Class,Average Statements per Method,Line Number of Most Complex Function*,Name of Most Complex Function*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Functions,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AIObject.cpp,246,150,40.7,16.3,0,0.00,0.0,105,getPresentValueAI(),19,79,6,2.75,16.00,3,13,29,6,52,39,7,4,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AIObject.h,54,15,0.0,44.4,0,0.00,0.0,,,0,20,0,0.00,0.00,0,15,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AVObject.cpp,474,286,43.0,15.2,0,0.00,0.0,114,setPresentValueAV(),22,75,6,2.45,19.00,5,17,53,71,92,40,8,5,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AVObject.h,58,19,0.0,34.5,0,0.00,0.0,,,0,47,1,0.11,0.00,0,17,2,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnet_DCI.cpp,199,69,30.4,41.2,0,5.00,11.8,157,BACnet_DCI::Interpret_DCI_BACNET_Error(),11,118,3,1.32,3.60,0,10,28,30,1,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnet_DCI.h,70,15,0.0,58.6,1,1.00,0.0,53,BACnet_DCI::~BACnet_DCI(),1,52,1,0.60,1.00,0,6,9,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACNET_Defines.h,65,9,0.0,50.8,0,0.00,0.0,,,0,14,0,0.00,0.00,0,9,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetDCIInterface.cpp,98,42,23.8,14.3,0,0.00,0.0,21,getDCIDForBVObject(),3,27,2,1.02,2.67,6,10,21,11,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetDCIInterface.h,32,11,0.0,50.0,0,0.00,0.0,,,0,2,0,0.00,0.00,0,11,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetKeyPadInterface.cpp,26,0,0.0,100.0,0,0.00,0.0,,,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,1876,1078,41.8,23.5,0,0.00,0.0,53,fraReadProperty(),133,255,7,3.11,7.51,55,81,151,86,308,254,120,57,21,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.h,55,19,0.0,34.5,0,0.00,0.0,,,0,20,0,0.00,0.00,0,19,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.cpp,364,139,25.2,28.3,0,11.00,10.8,205,BACnet_UART::Enable_Port(),10,129,7,1.64,3.36,0,20,59,37,10,4,6,2,1,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetUARTInterface.h,135,47,0.0,28.1,1,3.00,1.0,81,BACnet_UART::BACNET_UART_Callback_Static(),1,83,2,0.87,1.00,0,9,35,3,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetWrapper.cpp,24,0,0.0,100.0,0,0.00,0.0,,,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetWrapper.h,7,5,0.0,0.0,0,0.00,0.0,,,0,1,0,0.00,0.00,0,5,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\Binary_Search.cpp,172,79,30.4,15.7,0,0.00,0.0,22,Find_From_DCID(),7,42,4,1.82,7.00,4,7,32,16,16,8,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\Binary_Search.h,29,7,0.0,58.6,0,0.00,0.0,,,0,16,0,0.00,0.00,0,7,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BVObject.cpp,361,188,37.2,6.6,0,0.00,0.0,91,setPresentValueBV_using_Instance(),26,124,7,3.25,13.00,5,16,50,14,34,3,25,28,18,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BVObject.h,52,16,0.0,36.5,0,0.00,0.0,,,0,19,0,0.00,0.00,0,16,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\Cov.cpp,60,22,18.2,35.0,0,0.00,0.0,25,createCOVList(),5,39,4,1.05,3.00,2,8,9,2,2,1,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\Cov.h,43,16,0.0,46.5,0,0.00,0.0,,,0,32,1,0.13,0.00,0,14,2,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\CovChangeTracker.cpp,61,11,0.0,52.5,0,4.00,1.0,19,CovChangeTracker::UnTrack_ID(),1,22,1,0.36,1.00,0,7,4,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\CovChangeTracker.h,50,12,0.0,44.0,1,2.00,0.5,32,CovChangeTracker::Change_Track_Handler_Static(),1,45,2,0.83,1.00,0,3,8,1,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\DevObject.cpp,367,190,6.3,35.4,0,0.00,0.0,127,fraReinitDevice(),10,107,3,0.83,2.67,9,55,119,10,6,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\DevObject.h,57,32,0.0,36.8,0,0.00,0.0,,,0,19,0,0.00,0.00,0,32,0,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\MSVObject.cpp,350,209,38.3,17.7,0,0.00,0.0,110,setPresentValueAV(),21,70,6,2.54,14.25,4,13,43,37,68,36,7,5,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\MSVObject.h,54,16,0.0,33.3,0,0.00,0.0,,,0,45,1,0.13,0.00,0,14,2,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.cpp,644,209,34.4,22.0,0,26.00,6.8,241,Change_Tracker::Track_ID(),15,222,7,2.15,4.00,0,32,64,34,32,24,15,6,2,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker.h,284,69,0.0,57.4,1,3.00,1.0,253,Change_Tracker::Test_Track_Bit(),1,254,2,0.94,1.00,0,7,59,3,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker_Plus.cpp,130,29,41.4,41.5,0,6.00,3.7,84,Change_Tracker_Plus::Set_Change(),6,96,6,2.45,3.00,0,7,6,3,3,4,2,4,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\Change_Tracker_Plus.h,158,16,0.0,74.7,1,0.00,0.0,,,0,73,1,0.50,0.00,0,8,8,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.cpp,518,219,15.1,23.9,0,16.00,11.9,382,DCI::Reset_Req_Handler(),12,406,5,1.47,4.00,0,29,105,52,22,9,2,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI.h,272,47,4.3,60.3,1,5.00,2.0,51,DCI::Get_Data_Block(),3,57,3,1.11,1.40,0,7,30,8,2,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Config_CRC.cpp,181,54,20.4,28.7,0,7.00,6.0,26,DCI_Config_CRC::DCI_Config_CRC(),8,61,5,1.31,2.71,0,12,25,9,5,2,1,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Config_CRC.h,139,32,3.1,51.8,2,2.00,1.5,115,DCI_Config_CRC::Trigger_CRC_Update_Static(),2,121,3,0.94,1.50,0,8,19,4,1,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Defines.h,444,154,0.0,32.9,0,0.00,0.0,307,DCI_CBack_Decode_Error(),1,309,1,0.05,1.00,3,146,8,0,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.cpp,199,61,29.5,30.2,0,3.00,8.0,86,DCI_Lock::~DCI_Lock(),9,102,4,1.70,4.33,0,13,12,19,14,3,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Lock.h,179,41,0.0,58.1,2,3.00,1.7,61,Patron_Lock::Locked(),1,61,2,1.07,1.00,0,7,24,10,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Monitor.cpp,291,132,37.1,16.5,1,3.50,17.3,193,DCI_Monitor::Change_Print(),20,143,4,2.19,5.71,0,8,26,47,35,16,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_Monitor.h,166,27,0.0,59.0,2,2.00,1.0,121,DCI_Monitor::Change_Print_Static(),1,58,2,0.93,1.00,0,6,17,4,0,0,0,0,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\DCI\DCI_NV_Mem.cpp,271,103,31.1,21.0,0,5.00,17.8,93,DCI_NV_Mem::Patron_Write(),15,243,6,1.96,8.20,0,14,35,19,19,9,6,1,0,0,0
