Project Name,Checkpoint Name,Created On,File Name,Method,Complexity,Statements,Maximum Depth,Calls
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AIObject.cpp,createAIObjects(),10,31,6,6
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AIObject.cpp,getPresentValueAI(),19,70,4,10
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AIObject.cpp,getPresentValueAI_from_Instance(),19,36,4,7
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AVObject.cpp,createAvObjects(),13,37,6,6
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AVObject.cpp,getPresentValueAV(),21,75,4,14
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AVObject.cpp,getPresentValueAV_from_Instance(),19,36,4,7
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AVObject.cpp,setPresentValueAV(),22,78,3,32
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\AVObject.cpp,setPresentValueAV_using_Instance(),20,43,3,11
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnet_DCI.cpp,BACnet_DCI.BACnet_DCI(),1,2,1,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnet_DCI.cpp,BACnet_DCI.Get_Length(),1,3,1,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnet_DCI.cpp,BACnet_DCI.Interpret_DCI_BACNET_Error(),11,29,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnet_DCI.cpp,BACnet_DCI.Read_Param(),1,10,1,3
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnet_DCI.cpp,BACnet_DCI.Write_Param(),4,15,3,4
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnet_DCI.h,BACnet_DCI.~BACnet_DCI(),1,0,0,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetDCIInterface.cpp,getDCIDForAIObject(),3,6,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetDCIInterface.cpp,getDCIDForAVObject(),3,6,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetDCIInterface.cpp,getDCIDForBVObject(),3,7,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetDCIInterface.cpp,getDCIDForDevObject(),3,6,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetDCIInterface.cpp,getDCIDForMSVObject(),3,6,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetDCIInterface.cpp,Init_BACnetDCIInterface(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,createBACnetCOVList(),1,3,1,2
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,createBACnetObjects(),1,8,1,8
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,DoSolicitedCOV(),23,78,7,18
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,findAPlaceForInstanceToSubscribe(),3,6,3,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,findIfInstanceAlreadySubscribed(),8,11,4,1
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraAcknowledgeAlarm(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraAtomicReadFile(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraAtomicWriteFile(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraAtomicWriteFile(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoAlarmAck(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoAlarms(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoAlarmSummary(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoCOV(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoCOVNotifications(),3,4,2,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoCOVProperty(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoEventInfo(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoFiles(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoOCD(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoPvtTransfer(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoReadRange(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoReinit(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoRestartNotify(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoRPM(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoStructuredView(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoTimeSync(),1,1,1,0
Babelfish Analysis,Baseline,07 Feb 2018,BF\BACnet\BACnetStackInterface.cpp,fraCanDoUTCTimeSync(),1,1,1,0
